#TF1
#Name: Neutron efficiency
#Parent pad: 0
#range: (0, 10)
#Pts: 10000
#Line_color: 1, 0, 0
#Line_style: solid
#Line_width: 2
#x, f(x)
0.429, 10.7937
0.43, 10.798
0.431, 10.8017
0.432, 10.8055
0.433, 10.8092
0.434, 10.8129
0.435, 10.8167
0.436, 10.8204
0.437, 10.8241
0.438, 10.8278
0.439, 10.8316
0.44, 10.8353
0.441, 10.8386
0.442, 10.8418
0.443, 10.8451
0.444, 10.8483
0.445, 10.8516
0.446, 10.8548
0.447, 10.8581
0.448, 10.8613
0.449, 10.8646
0.45, 10.8678
0.451, 10.8707
0.452, 10.8735
0.453, 10.8763
0.454, 10.8791
0.455, 10.8819
0.456, 10.8847
0.457, 10.8876
0.458, 10.8904
0.459, 10.8932
0.46, 10.896
0.461, 10.8984
0.462, 10.9008
0.463, 10.9033
0.464, 10.9057
0.465, 10.9081
0.466, 10.9105
0.467, 10.9129
0.468, 10.9154
0.469, 10.9178
0.47, 10.9202
0.471, 10.9222
0.472, 10.9243
0.473, 10.9264
0.474, 10.9284
0.475, 10.9305
0.476, 10.9325
0.477, 10.9346
0.478, 10.9366
0.479, 10.9387
0.48, 10.9408
0.481, 10.9425
0.482, 10.9442
0.483, 10.9459
0.484, 10.9477
0.485, 10.9494
0.486, 10.9511
0.487, 10.9528
0.488, 10.9546
0.489, 10.9563
0.49, 10.958
0.491, 10.9595
0.492, 10.9609
0.493, 10.9623
0.494, 10.9637
0.495, 10.9652
0.496, 10.9666
0.497, 10.968
0.498, 10.9694
0.499, 10.9709
0.5, 10.9723
0.501, 10.9735
0.502, 10.9746
0.503, 10.9758
0.504, 10.9769
0.505, 10.9781
0.506, 10.9792
0.507, 10.9804
0.508, 10.9815
0.509, 10.9827
0.51, 10.9838
0.511, 10.9847
0.512, 10.9856
0.513, 10.9865
0.514, 10.9874
0.515, 10.9883
0.516, 10.9892
0.517, 10.9901
0.518, 10.991
0.519, 10.992
0.52, 10.9929
0.521, 10.9935
0.522, 10.9942
0.523, 10.9949
0.524, 10.9956
0.525, 10.9962
0.526, 10.9969
0.527, 10.9976
0.528, 10.9983
0.529, 10.9989
0.53, 10.9996
0.531, 11.0001
0.532, 11.0005
0.533, 11.001
0.534, 11.0015
0.535, 11.0019
0.536, 11.0024
0.537, 11.0029
0.538, 11.0033
0.539, 11.0038
0.54, 11.0043
0.541, 11.0046
0.542, 11.0048
0.543, 11.0051
0.544, 11.0054
0.545, 11.0057
0.546, 11.006
0.547, 11.0062
0.548, 11.0065
0.549, 11.0068
0.55, 11.0071
0.551, 11.0072
0.552, 11.0073
0.553, 11.0074
0.554, 11.0075
0.555, 11.0076
0.556, 11.0077
0.557, 11.0078
0.558, 11.0079
0.559, 11.008
0.56, 11.0081
0.561, 11.0081
0.562, 11.008
0.563, 11.008
0.564, 11.0079
0.565, 11.0079
0.566, 11.0078
0.567, 11.0078
0.568, 11.0077
0.569, 11.0077
0.57, 11.0076
0.571, 11.0074
0.572, 11.0072
0.573, 11.007
0.574, 11.0068
0.575, 11.0066
0.576, 11.0064
0.577, 11.0062
0.578, 11.006
0.579, 11.0058
0.58, 11.0057
0.581, 11.0053
0.582, 11.005
0.583, 11.0047
0.584, 11.0043
0.585, 11.004
0.586, 11.0037
0.587, 11.0034
0.588, 11.003
0.589, 11.0027
0.59, 11.0024
0.591, 11.0019
0.592, 11.0015
0.593, 11.0011
0.594, 11.0006
0.595, 11.0002
0.596, 10.9997
0.597, 10.9993
0.598, 10.9988
0.599, 10.9984
0.6, 10.9979
0.601, 10.9974
0.602, 10.9968
0.603, 10.9963
0.604, 10.9957
0.605, 10.9952
0.606, 10.9946
0.607, 10.9941
0.608, 10.9935
0.609, 10.9929
0.61, 10.9924
0.611, 10.9917
0.612, 10.9911
0.613, 10.9904
0.614, 10.9898
0.615, 10.9891
0.616, 10.9885
0.617, 10.9878
0.618, 10.9872
0.619, 10.9865
0.62, 10.9859
0.621, 10.9851
0.622, 10.9844
0.623, 10.9836
0.624, 10.9829
0.625, 10.9821
0.626, 10.9814
0.627, 10.9807
0.628, 10.9799
0.629, 10.9792
0.63, 10.9784
0.631, 10.9776
0.632, 10.9768
0.633, 10.976
0.634, 10.9751
0.635, 10.9743
0.636, 10.9735
0.637, 10.9726
0.638, 10.9718
0.639, 10.971
0.64, 10.9702
0.641, 10.9693
0.642, 10.9684
0.643, 10.9675
0.644, 10.9666
0.645, 10.9657
0.646, 10.9648
0.647, 10.9639
0.648, 10.963
0.649, 10.9621
0.65, 10.9612
0.651, 10.9602
0.652, 10.9592
0.653, 10.9583
0.654, 10.9573
0.655, 10.9563
0.656, 10.9554
0.657, 10.9544
0.658, 10.9534
0.659, 10.9525
0.66, 10.9515
0.661, 10.9505
0.662, 10.9494
0.663, 10.9484
