# Ex(MeV)	BGT(1/MeV)	J*2
52.241	0.0	5
52.247	0.0	3
52.253	0.0	5
52.254	0.0	5
52.286	0.0	3
52.291	0.0	3
52.322	0.0	7
52.328	0.0	5
52.337	0.0	7
52.366	5.9e-5	3
52.367	0.0	5
52.389	0.0	5
52.395	5.9e-5	5
52.448	0.0	7
52.461	5.9e-5	3
52.481	0.0	3
52.507	5.9e-5	7
52.538	0.0	5
52.631	0.0	3
52.67	0.0	5
52.681	0.0	3
52.732	0.0	3
52.819	0.0	3
52.855	0.0	7
52.856	5.9e-5	3
52.9	0.0	3
52.903	5.9e-5	7
52.97	0.0	7
53.015	5.9e-5	3
53.016	0.0	5
53.018	0.0	5
53.071	0.0	7
53.083	5.9e-5	7
53.09	0.0	7
53.098	5.9e-5	5
53.327	0.0	5
53.44	0.0	3
53.461	0.0	3
53.537	5.9e-5	5
53.647	0.0	7
53.656	0.0	5
53.675	0.0	7
53.696	5.9e-5	3
53.899	5.9e-5	7
53.947	0.0	5
53.96	5.9e-5	7
53.985	0.0	3
54.028	5.9e-5	7
54.051	5.9e-5	3
54.111	0.003024	3
54.198	0.0	5
54.253	5.9e-5	3
54.256	5.9e-5	7
54.294	5.9e-5	3
54.334	5.9e-5	5
54.355	0.003795	5
54.356	0.0	5
54.619	5.9e-5	5
54.633	0.0	3
54.671	5.9e-5	5
54.766	5.9e-5	5
54.848	0.0	7
54.98	0.004091	7
55.17	0.0	3
55.293	0.0	7
55.919	0.0	5
56.258	0.0	7
56.356	0.0	5
56.452	0.0	3
56.561	0.0	3
56.587	0.0	7
56.94	0.001957	3
57.121	0.0	3
57.197	0.002312	5
57.272	0.0	5
57.4	0.0	3
57.708	0.0	7
57.747	0.0	5
57.877	0.00249	7
58.188	0.0	5
59.324	0.0	3
59.89	0.001127	3
59.924	0.0	7
60.197	0.001304	5
60.854	0.001364	7
62.006	0.0	5
62.939	0.000711	3
63.25	0.000711	5
63.953	0.000771	7
65.928	0.000296	3
66.438	0.000356	5
67.036	0.000415	7
