#                                                                   TOTAL PARTICLE EMISSION SPECTRA
#      Emin       Emax  Spectra / Decay / MeV
#     [MeV]      [MeV]      gamma    neutron   electron   neutrino
     9.4500     9.5500 3.5785e-08 1.2606e-03 9.0492e-02 9.6946e-02
     9.5500     9.6500 2.8337e-08 9.9389e-04 8.9309e-02 9.5966e-02
     9.6500     9.7500 2.0567e-08 7.0591e-04 8.8099e-02 9.4947e-02
     9.7500     9.8500 1.9823e-08 5.2826e-04 8.6864e-02 9.3894e-02
     9.8500     9.9500 2.2546e-08 6.9610e-04 8.5604e-02 9.2805e-02
     9.9500    10.0500 3.4080e-08 1.1848e-03 8.4322e-02 9.1681e-02
    10.0500    10.1500 2.9750e-08 9.1106e-04 8.3017e-02 9.0536e-02
    10.1500    10.2500 2.5635e-08 7.4706e-04 8.1692e-02 8.9360e-02
    10.2500    10.3500 3.4374e-08 4.2200e-04 8.0346e-02 8.8152e-02
    10.3500    10.4500 2.2145e-08 5.5330e-04 7.8981e-02 8.6927e-02
    10.4500    10.5500 2.0430e-08 7.0971e-04 7.7599e-02 8.5681e-02
    10.5500    10.6500 1.8540e-08 4.0997e-04 7.6202e-02 8.4405e-02
    10.6500    10.7500 1.4514e-08 3.8246e-04 7.4794e-02 8.3101e-02
    10.7500    10.8500 1.4286e-08 3.3116e-04 7.3375e-02 8.1771e-02
    10.8500    10.9500 1.5059e-08 2.0279e-04 7.1947e-02 8.0420e-02
    10.9500    11.0500 2.2435e-08 1.4575e-04 7.0511e-02 7.9054e-02
    11.0500    11.1500 2.9445e-08 1.8370e-04 6.9065e-02 7.7667e-02
    11.1500    11.2500 1.6793e-08 3.4949e-04 6.7610e-02 7.6281e-02
    11.2500    11.3500 1.5502e-08 3.7908e-04 6.6146e-02 7.4882e-02
    11.3500    11.4500 2.4035e-08 1.8550e-04 6.4673e-02 7.3471e-02
    11.4500    11.5500 1.7225e-08 9.1252e-05 6.3194e-02 7.2058e-02
    11.5500    11.6500 1.1911e-08 8.9581e-05 6.1711e-02 7.0629e-02
    11.6500    11.7500 1.5075e-08 1.3394e-04 6.0225e-02 6.9183e-02
    11.7500    11.8500 1.2875e-08 1.3654e-04 5.8737e-02 6.7722e-02
    11.8500    11.9500 1.0080e-08 1.4222e-04 5.7244e-02 6.6252e-02
    11.9500    12.0500 1.0086e-08 1.5551e-04 5.5748e-02 6.4783e-02
    12.0500    12.1500 1.3927e-08 8.6483e-05 5.4251e-02 6.3317e-02
    12.1500    12.2500 2.3685e-08 8.8592e-05 5.2752e-02 6.1843e-02
    12.2500    12.3500 1.5065e-08 1.0545e-04 5.1254e-02 6.0357e-02
    12.3500    12.4500 8.0741e-09 6.5853e-05 4.9756e-02 5.8867e-02
    12.4500    12.5500 8.2568e-09 8.2101e-05 4.8261e-02 5.7379e-02
    12.5500    12.6500 1.2354e-08 6.2073e-05 4.6770e-02 5.5885e-02
    12.6500    12.7500 1.1907e-08 7.4642e-05 4.5284e-02 5.4381e-02
    12.7500    12.8500 8.3369e-09 6.9199e-05 4.3805e-02 5.2877e-02
    12.8500    12.9500 1.0580e-08 2.9497e-05 4.2332e-02 5.1375e-02
    12.9500    13.0500 7.9687e-09 2.2496e-05 4.0864e-02 4.9872e-02
    13.0500    13.1500 5.7139e-09 2.3357e-05 3.9405e-02 4.8382e-02
    13.1500    13.2500 5.5371e-09 3.4015e-05 3.7954e-02 4.6897e-02
    13.2500    13.3500 6.6987e-09 3.2729e-05 3.6515e-02 4.5411e-02
    13.3500    13.4500 9.7733e-09 3.1386e-05 3.5089e-02 4.3925e-02
    13.4500    13.5500 6.7077e-09 6.0009e-05 3.3677e-02 4.2445e-02
    13.5500    13.6500 4.2814e-09 5.6881e-05 3.2282e-02 4.0971e-02
    13.6500    13.7500 4.0574e-09 1.9141e-05 3.0906e-02 3.9501e-02
    13.7500    13.8500 3.9883e-09 9.8862e-06 2.9550e-02 3.8038e-02
    13.8500    13.9500 3.9187e-09 1.0524e-05 2.8215e-02 3.6586e-02
    13.9500    14.0500 4.0366e-09 1.9989e-05 2.6902e-02 3.5148e-02
    14.0500    14.1500 5.0612e-09 3.0089e-05 2.5611e-02 3.3733e-02
    14.1500    14.2500 4.6698e-09 2.5409e-05 2.4345e-02 3.2336e-02
    14.2500    14.3500 3.4434e-09 8.7427e-06 2.3106e-02 3.0953e-02
    14.3500    14.4500 3.9564e-09 4.8720e-06 2.1895e-02 2.9586e-02
    14.4500    14.5500 4.2652e-09 4.5640e-06 2.0711e-02 2.8233e-02
    14.5500    14.6500 2.9205e-09 4.5129e-06 1.9555e-02 2.6909e-02
    14.6500    14.7500 2.5233e-09 6.8173e-06 1.8429e-02 2.5620e-02
    14.7500    14.8500 2.5702e-09 1.2700e-05 1.7335e-02 2.4351e-02
    14.8500    14.9500 3.1984e-09 1.1980e-05 1.6274e-02 2.3102e-02
    14.9500    15.0500 2.9469e-09 1.2619e-05 1.5248e-02 2.1879e-02
    15.0500    15.1500 2.0054e-09 1.2072e-05 1.4260e-02 2.0682e-02
    15.1500    15.2500 1.8500e-09 3.5040e-06 1.3309e-02 1.9511e-02
    15.2500    15.3500 1.8295e-09 2.0989e-06 1.2398e-02 1.8372e-02
    15.3500    15.4500 1.8126e-09 4.6123e-06 1.1528e-02 1.7266e-02
    15.4500    15.5500 1.8105e-09 6.0731e-06 1.0701e-02 1.6193e-02
    15.5500    15.6500 1.9641e-09 4.5383e-06 9.9208e-03 1.5151e-02
    15.6500    15.7500 2.2726e-09 6.3064e-06 9.1866e-03 1.4143e-02
    15.7500    15.8500 1.9188e-09 2.4759e-06 8.4990e-03 1.3167e-02
    15.8500    15.9500 1.3220e-09 8.0848e-07 7.8565e-03 1.2239e-02
    15.9500    16.0500 1.1958e-09 7.0680e-07 7.2524e-03 1.1352e-02
    16.0500    16.1500 1.1851e-09 6.8240e-07 6.6813e-03 1.0514e-02
    16.1500    16.2500 1.1902e-09 8.7140e-07 6.1421e-03 9.7661e-03
    16.2500    16.3500 1.3202e-09 2.5528e-06 5.6342e-03 9.0620e-03
    16.3500    16.4500 1.2749e-09 2.9437e-06 5.1572e-03 8.3891e-03
    16.4500    16.5500 8.9359e-10 1.6369e-06 4.7109e-03 7.7529e-03
    16.5500    16.6500 8.0352e-10 2.5404e-06 4.2946e-03 7.1489e-03
    16.6500    16.7500 7.9912e-10 1.3690e-06 3.9073e-03 6.5718e-03
    16.7500    16.8500 7.9758e-10 3.5057e-07 3.5496e-03 6.0339e-03
    16.8500    16.9500 7.9607e-10 7.3407e-07 3.2221e-03 5.5265e-03
    16.9500    17.0500 7.9701e-10 1.4386e-06 2.9245e-03 5.0421e-03
    17.0500    17.1500 8.1259e-10 7.0462e-07 2.6530e-03 4.5867e-03
    17.1500    17.2500 8.9705e-10 9.5018e-07 2.4027e-03 4.1559e-03
    17.2500    17.3500 7.9791e-10 7.6617e-07 2.1724e-03 3.7826e-03
    17.3500    17.4500 5.3859e-10 1.3013e-07 1.9625e-03 3.4502e-03
    17.4500    17.5500 4.9382e-10 4.6111e-08 1.7734e-03 3.1352e-03
    17.5500    17.6500 4.9378e-10 4.3103e-08 1.6022e-03 2.8378e-03
    17.6500    17.7500 4.9515e-10 5.0407e-08 1.4450e-03 2.5542e-03
    17.7500    17.8500 5.1931e-10 2.1114e-07 1.3000e-03 2.3116e-03
    17.8500    17.9500 5.1076e-10 5.5939e-07 1.1673e-03 2.1024e-03
    17.9500    18.0500 3.4222e-10 4.0255e-07 1.0453e-03 1.9058e-03
    18.0500    18.1500 2.8024e-10 1.9533e-07 9.3211e-04 1.7182e-03
    18.1500    18.2500 2.7811e-10 7.6092e-08 8.2720e-04 1.5545e-03
    18.2500    18.3500 2.7861e-10 3.6711e-08 7.3083e-04 1.4075e-03
    18.3500    18.4500 2.7928e-10 8.7463e-08 6.4332e-04 1.2679e-03
    18.4500    18.5500 2.8099e-10 2.0778e-07 5.6499e-04 1.1349e-03
    18.5500    18.6500 2.8489e-10 1.6471e-07 4.9558e-04 1.0091e-03
    18.6500    18.7500 2.9809e-10 1.9232e-08 4.3329e-04 8.9097e-04
    18.7500    18.8500 2.9689e-10 3.0531e-10 3.7599e-04 7.8058e-04
    18.8500    18.9500 1.9874e-10 6.5617e-13 3.2302e-04 6.9204e-04
    18.9500    19.0500 1.3778e-10 1.6120e-13 2.7449e-04 6.1683e-04
    19.0500    19.1500 1.3225e-10 6.3565e-11 2.3055e-04 5.4581e-04
    19.1500    19.2500 1.3248e-10 3.4202e-09 1.9115e-04 4.7861e-04
    19.2500    19.3500 1.3466e-10 2.6176e-08 1.5603e-04 4.1501e-04
    19.3500    19.4500 1.4025e-10 3.6213e-08 1.2507e-04 3.5646e-04
    19.4500    19.5500 9.4991e-11 1.5467e-08 9.8351e-05 3.0415e-04
    19.5500    19.6500 4.4194e-11 6.9316e-09 7.5951e-05 2.5583e-04
    19.6500    19.7500 3.7871e-11 1.2996e-08 5.7820e-05 2.1094e-04
    19.7500    19.8500 3.7931e-11 4.3055e-09 4.3951e-05 1.6982e-04
    19.8500    19.9500 3.8088e-11 1.9347e-10 3.4355e-05 1.3319e-04
    19.9500    20.0500 3.8186e-11 1.1766e-12 2.8209e-05 1.0088e-04
    20.0500    20.1500 3.8456e-11 0.0000e+00 2.3720e-05 7.0919e-05
    20.1500    20.2500 3.9144e-11 0.0000e+00 1.9726e-05 4.9813e-05
    20.2500    20.3500 3.1041e-11 0.0000e+00 1.6069e-05 4.1961e-05
    20.3500    20.4500 1.6547e-11 0.0000e+00 1.2756e-05 3.6579e-05
    20.4500    20.5500 1.0137e-11 0.0000e+00 9.7988e-06 3.1531e-05
    20.5500    20.6500 7.9574e-12 0.0000e+00 7.2090e-06 2.6780e-05
    20.6500    20.7500 2.1616e-12 0.0000e+00 4.9982e-06 2.2333e-05
    20.7500    20.8500 9.6060e-14 0.0000e+00 3.1782e-06 1.8198e-05
    20.8500    20.9500 5.9267e-16 0.0000e+00 1.7609e-06 1.4383e-05
    20.9500    21.0500 0.0000e+00 0.0000e+00 7.5825e-07 1.0884e-05
    21.0500    21.1500 0.0000e+00 0.0000e+00 1.8122e-07 7.6852e-06
    21.1500    21.2500 0.0000e+00 0.0000e+00 0.0000e+00 4.8134e-06
    21.2500    21.3500 0.0000e+00 0.0000e+00 0.0000e+00 2.4155e-06
    21.3500    21.4500 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
