 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  7( 114)  -46.308  5(   1)  -69.579 -23.271    0.0026    0.0000    0.0000    0.0000
  7( 115)  -48.628  5(   1)  -69.579 -20.951    0.0016    0.0000    0.0000    0.0000
  7( 116)  -46.034  5(   1)  -69.579 -23.546    0.0009    0.0000    0.0000    0.0000
  7( 117)  -44.833  5(   1)  -69.579 -24.746    0.0006    0.0000    0.0000    0.0000
  7( 118)  -44.822  5(   1)  -69.579 -24.757    0.0006    0.0000    0.0000    0.0000
  7( 119)  -41.386  5(   1)  -69.579 -28.193    0.0007    0.0000    0.0000    0.0000
  7( 120)  -43.782  5(   1)  -69.579 -25.798    0.0005    0.0000    0.0000    0.0000
  7( 121)  -45.523  5(   1)  -69.579 -24.056    0.0005    0.0000    0.0000    0.0000
  7( 122)  -44.480  5(   1)  -69.579 -25.099    0.0004    0.0000    0.0000    0.0000
  7( 123)  -45.734  5(   1)  -69.579 -23.845    0.0004    0.0000    0.0000    0.0000
  7( 124)  -49.267  5(   1)  -69.579 -20.312    0.0004    0.0000    0.0000    0.0000
  7( 125)  -47.332  5(   1)  -69.579 -22.247    0.0004    0.0000    0.0000    0.0000
  7( 126)  -43.925  5(   1)  -69.579 -25.654    0.0004    0.0000    0.0000    0.0000
  7( 127)  -50.748  5(   1)  -69.579 -18.831    0.0004    0.0000    0.0000    0.0000
  7( 128)  -46.814  5(   1)  -69.579 -22.766    0.0004    0.0000    0.0000    0.0000
  7( 129)  -45.345  5(   1)  -69.579 -24.234    0.0003    0.0000    0.0000    0.0000
  7( 130)  -47.112  5(   1)  -69.579 -22.467    0.0003    0.0000    0.0000    0.0000
  7( 131)  -49.101  5(   1)  -69.579 -20.478    0.0003    0.0000    0.0000    0.0000
  7( 132)  -48.845  5(   1)  -69.579 -20.734    0.0003    0.0000    0.0000    0.0000
  7( 133)  -48.725  5(   1)  -69.579 -20.854    0.0002    0.0000    0.0000    0.0000
  7( 134)  -53.706  5(   1)  -69.579 -15.873    0.0003    0.0000    0.0000    0.0000
